Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,62,The transfer of communication of an aircraft from one ATS unit to another should be done:,Area control centre (ACC),"Prescribed vertical, lateral or longitudinal separation",The appropriate ATS units,"At an agreed point or time, or sufficiently early for the receiving unit",4,SUP
,63,"If a pilot is unable to comply with a clearance, they must:",Flight information service (FIS),The appropriate ATS unit at the aerodrome of arrival,Inform ATC immediately and request an amended clearance,Safe and efficient conduct of flight,3,SUP
,64,"A clearance to taxi to the ""holding point"" means to taxi to the:","At an agreed point or time, or sufficiently early for the receiving unit",Aerodrome control tower (TWR),Runway-holding position,Safe and efficient conduct of flight,3,SUP
,65,The establishment of an air traffic service is the responsibility of the:,Aerodrome control service,The State or appropriate ATS authority,The appropriate ATS units,Alerting service,2,SUP
,66,An arrival report must be made by a pilot at the termination of a controlled flight to:,VOLMET,Any flight or portion of flight that will be provided with air traffic control service,The appropriate ATS unit at the aerodrome of arrival,"1,000 ft",3,SUP
,67,"Which ICAO Annex regulates the provision of Air Traffic Services (ATS), including airspace management?",ICAO Annex 14,ICAO Annex 11,ICAO Annex 3,ICAO Annex 2,2,SUP
,68,Uncontrolled airspace is where:,Separation from IFR traffic and traffic information about other VFR traffic,No ATC service is provided; flight information and alerting services may be available,Prohibited area,Class E,2,SUP
,69,Which class of airspace provides IFR and VFR separation from all aircraft?,Class G,Class B,Class C,Class A,2,SUP
,70,"In Class C airspace, VFR flights receive:",Class G,Class B,Class F,Separation from IFR traffic and traffic information about other VFR traffic,4,SUP
,71,Which class of airspace is uncontrolled?,Class F,Class C,Class A,Class G,4,SUP
,72,Which is the default service in uncontrolled (Class G) airspace?,"Flight information service and alerting service, as applicable",No ATC service is provided; flight information and alerting services may be available,Provide advice and information useful for the safe and efficient conduct of flight,Area control service,1,SUP
,73,What services are provided within an FIR?,Air traffic advisory service,No ATC service is provided; flight information and alerting services may be available,An aerodrome and the controlled airspace extending upward from the surface around it,Flight information service and alerting service,4,SUP
,74,The main purpose of Flight Information Service is,Provide advice and information useful for the safe and efficient conduct of flight,A danger area contains potentially hazardous activities; a restricted area permits flight only under specified conditions,Air traffic advisory service,Air traffic control service,1,SUP
,75,A Control Zone (CTR) is usually associated with:,Class A,No ATC service is provided; flight information and alerting services may be available,Class B,An aerodrome and the controlled airspace extending upward from the surface around it,4,SUP
,76,Which statement about Prohibited Areas is correct?,Flight is prohibited unless specifically authorized,Class G,An aerodrome and the controlled airspace extending upward from the surface around it,Provide advice and information useful for the safe and efficient conduct of flight,1,SUP
,77,A Danger Area differs from a Restricted Area in that:,A danger area contains potentially hazardous activities; a restricted area permits flight only under specified conditions,"Flight information service and alerting service, as applicable",Class G,No ATC service is provided; flight information and alerting services may be available,1,SUP
,78,How many levels of ASM are defined in the ICAO concept?,Four,Five,Two,Three,4,SUP
,79,The strategic level of ASM is responsible for:,Three,Airspace is not permanently designated civil or military and is allocated flexibly according to need,"Procedural vertical, lateral and longitudinal separation","National policy, airspace structures and civil-military priority rules",4,SUP
,80,Which ASM level manages real-time changes in airspace allocation?,ASM Level 2 (Pre-tactical),ATFM Tactical Phase,ASM Level 3 (Tactical),ASM Level 1 (Strategic),3,SUP
,81,Flexible Use of Airspace (FUA) means:,Airspace is not permanently designated civil or military and is allocated flexibly according to need,"National flexible-use-of-airspace policy, structures and procedures",Military exercises or other temporary special activities,Flight information region (FIR),1,SUP
,82,The main output of ASM Level 1 (Strategic) is:,"National flexible-use-of-airspace policy, structures and procedures","Procedural vertical, lateral and longitudinal separation",An Airspace Use Plan or Updated Airspace Use Plan supported by an Airspace Management Cell and CDM,ASM Level 3 (Tactical),1,SUP
,83,Which of the following tools supports collaborative airspace planning between civil and military users?,Class F,Restricted area,An Airspace Use Plan or Updated Airspace Use Plan supported by an Airspace Management Cell and CDM,Control area (CTA),3,SUP
,84,Which type of separation is applied in procedural (non-radar) environments?,"Procedural vertical, lateral and longitudinal separation","National flexible-use-of-airspace policy, structures and procedures",Airspace is not permanently designated civil or military and is allocated flexibly according to need,Military exercises or other temporary special activities,1,SUP
,85,Temporary Reserved Airspace (TRA) is usually allocated for,Class B,Military exercises or other temporary special activities,Terminal control area (TMA),Class F,2,SUP
,86, What is an ATC sector?,Human operators and personnel,A defined volume of airspace assigned to a controller or controller team,"Transmit, read back, hear and confirm or correct",A confusing display or poorly designed control layout,2,SUP
,87,The main goal of Human Factors is:,Teamwork and communication,"Clear communication, mutual support, trust and shared situational awareness","Transmit, read back, hear and confirm or correct",Optimize human performance and aviation safety,4,SUP
,88,"According to ICAO, Human Factors is defined as:",Standard operating procedures,"The interaction between people, equipment, procedures and the environment","Limited attention, memory and perception; fatigue and workload",A defined volume of airspace assigned to a controller or controller team,2,SUP
,89,Which is NOT a core concern of Human Factors?,Too high or too low,Purely technical system performance with no human interaction,Threat and error management,Stress management,2,SUP
,90,"In the SHEL model, “Liveware” refers to:","Limited attention, memory and perception; fatigue and workload",Safe and efficient provision of air traffic control,Human operators and personnel,An action or inaction that unintentionally deviates from the intended outcome,3,SUP
,91,A key reason Human Factors training is needed in ATC is:,Safe and efficient provision of air traffic control,"Limited attention, memory and perception; fatigue and workload","Reduce human error and improve safety, teamwork and performance",Team members monitor each other’s actions and performance,3,SUP
,92,Which of the following is a common human limitation addressed by HF?,Fatigue and workload,"Limited attention, memory and perception; fatigue and workload",Human operators and personnel,Stress management,2,SUP
,93,Error in Human Factors is defined as:,An action or inaction that unintentionally deviates from the intended outcome,Team members monitor each other’s actions and performance,A defined volume of airspace assigned to a controller or controller team,"Fatigue, stress, workload, alertness, expectation and task complexity",1,SUP
,94,Which type of error is associated with slips and lapses?,An action or inaction that unintentionally deviates from the intended outcome,Purely technical system performance with no human interaction,Optimize human performance and aviation safety,Skill-based errors,4,SUP
,95,The “Swiss Cheese Model” illustrates:,       Promotes a systematic approach to safety.,      Is a logical and systematic development of the error chain approach to focus on causes of “organizational accidents”.,       Involves recognition that all components of the aviation system can contribute to and detract from safe and effective operations.,      All of above,4,SUP
,96,Performance may degrade when workload is:,"Fatigue, stress, workload, alertness, expectation and task complexity",Threat and error management,Skill-based errors,Too high or too low,4,SUP
,97,Long-term memory capacity is:,Human operators and personnel,Reduce misunderstanding through clear and concise communication,Safe and efficient provision of air traffic control,Very large or virtually unlimited,4,SUP
,98,Reaction time is influenced by:,"Clear communication, mutual support, trust and shared situational awareness",Team members monitor each other’s actions and performance,"Fatigue, stress, workload, alertness, expectation and task complexity","Reduce human error and improve safety, teamwork and performance",3,SUP
,99,An example of poor HMI is:,Team members monitor each other’s actions and performance,"Transmit, read back, hear and confirm or correct","Limited attention, memory and perception; fatigue and workload",A confusing display or poorly designed control layout,4,SUP
,100,Standard phraseology is used to:,"Fatigue, stress, workload, alertness, expectation and task complexity",Skill-based errors,"Clear communication, mutual support, trust and shared situational awareness",Reduce misunderstanding through clear and concise communication,4,SUP
,101,Closed-loop communication means:,"Transmit, read back, hear and confirm or correct",Purely technical system performance with no human interaction,"Fatigue, stress, workload, alertness, expectation and task complexity",Team members monitor each other’s actions and performance,1,SUP
,102,Cross-monitoring in teams is:,"Fatigue, stress, workload, alertness, expectation and task complexity",Team members monitor each other’s actions and performance,"The interaction between people, equipment, procedures and the environment",Safe and efficient provision of air traffic control,2,SUP
,103,Which factor enhances teamwork?,Stress management,Optimize human performance and aviation safety,"Reduce human error and improve safety, teamwork and performance","Clear communication, mutual support, trust and shared situational awareness",4,SUP
,104,Crew Resource Management (CRM) promotes:,"Effective teamwork, communication, leadership, decision-making and resource use",Purely technical system performance with no human interaction,Very large or virtually unlimited,"Transmit, read back, hear and confirm or correct",1,SUP
,105,The ultimate goal of teamwork in ATC is:,"Reduce human error and improve safety, teamwork and performance",Human operators and personnel,Too high or too low,Safe and efficient provision of air traffic control,4,SUP
,106,Stress in ATC is best defined as:,"Practice normal, abnormal and emergency situations safely",Fatigue and workload,A response when perceived demands exceed available resources,Leadership and motivation,3,SUP
,107,Fatigue in ATC is best described as:,Standard operating procedures,"Reduced mental or physical performance caused by sleep loss, circadian effects and workload","Guide the team and support safe, orderly and efficient decisions",A limited-capacity system that temporarily holds and processes current information,2,SUP
,108,A major cause of fatigue is:,Human-machine interface,"Insufficient sleep, extended duty or night work",Continuously assessing traffic and task demand against the controller’s capacity,"Knowledge, experience, rules and procedures",2,SUP
,109,Circadian rhythm refers to:,Ensure adequate alertness and maintain safety,"Inspiring and developing people through vision, motivation and change","Reduced mental or physical performance caused by sleep loss, circadian effects and workload",The approximately 24-hour internal biological cycle,4,SUP
,110,Which of the following is a common effect of fatigue?,Stress management,A response when perceived demands exceed available resources,"Reduced mental or physical performance caused by sleep loss, circadian effects and workload","Reduced alertness, slower reactions and poorer judgement",4,SUP
,111,The ultimate goal of fatigue management is:,"Reduced mental or physical performance caused by sleep loss, circadian effects and workload",Continuously assessing traffic and task demand against the controller’s capacity,Ensure adequate alertness and maintain safety,"Practice normal, abnormal and emergency situations safely",3,SUP
,112,Workload in ATC refers to:,"Reduced mental or physical performance caused by sleep loss, circadian effects and workload","The mental and physical demand produced by traffic, tasks, time pressure and complexity","Prioritize, plan, delegate, use SOPs and split or sectorize workload when needed",A response when perceived demands exceed available resources,2,SUP
,113,A strategy for managing workload is:,"Maintain competence, standardization and safety",Ensure adequate alertness and maintain safety,"The mental and physical demand produced by traffic, tasks, time pressure and complexity","Prioritize, plan, delegate, use SOPs and split or sectorize workload when needed",4,SUP
,114,Workload monitoring means:,"Insufficient sleep, extended duty or night work",Continuously assessing traffic and task demand against the controller’s capacity,A limited-capacity system that temporarily holds and processes current information,"Prioritize, plan, delegate, use SOPs and split or sectorize workload when needed",2,SUP
,115,Short-term memory typically holds:,Very limited – only one item,About 30 items,Unlimited,A few items of information during a few seconds,4,SUP
,116,Long-term memory stores:,"Reduced alertness, slower reactions and poorer judgement","Knowledge, experience, rules and procedures",Working memory,Fatigue and workload,2,SUP
,117,Working memory is:,"Reduced mental or physical performance caused by sleep loss, circadian effects and workload",A limited-capacity system that temporarily holds and processes current information,Teamwork and communication,"Practice normal, abnormal and emergency situations safely",2,SUP
,118,The purpose of memory study in ATC is:,"Reduced mental or physical performance caused by sleep loss, circadian effects and workload",Understand memory limits and design training and procedures to reduce error,"The mental and physical demand produced by traffic, tasks, time pressure and complexity","Knowledge, experience, rules and procedures",2,SUP
,119,Motivation in ATC refers to:,"Inspiring and developing people through vision, motivation and change",Ensure adequate alertness and maintain safety,"Insufficient sleep, extended duty or night work",The drive or willingness to perform safely and effectively,4,SUP
,120,Transformational leadership focuses on:,Threat and error management,"Guide the team and support safe, orderly and efficient decisions","Inspiring and developing people through vision, motivation and change",Working memory,3,SUP
,121,The purpose of leadership in ATC is:,A deliberate deviation from rules or procedures,Understand memory limits and design training and procedures to reduce error,"Guide the team and support safe, orderly and efficient decisions","Reduced alertness, slower reactions and poorer judgement",3,SUP
,122,Training in ATC is important because:,"Maintain competence, standardization and safety",Continuously assessing traffic and task demand against the controller’s capacity,A response when perceived demands exceed available resources,The approximately 24-hour internal biological cycle,1,SUP
,123,Continuation training ensures:,"Knowledge, experience, rules and procedures","Inspiring and developing people through vision, motivation and change","Practice normal, abnormal and emergency situations safely","Controllers remain competent, current and updated",4,SUP
,124,Simulation training is used to:,Continuously assessing traffic and task demand against the controller’s capacity,A limited-capacity system that temporarily holds and processes current information,"Practice normal, abnormal and emergency situations safely",The approximately 24-hour internal biological cycle,3,SUP
,125,A violation is:,A deliberate deviation from rules or procedures,A response when perceived demands exceed available resources,"Practice normal, abnormal and emergency situations safely","Insufficient sleep, extended duty or night work",1,SUP
,126,The “Swiss Cheese Model” explains:,       Promotes a systematic approach to safety.,      Is a logical and systematic development of the error chain approach to focus on causes of “organizational accidents”.,       Involves recognition that all components of the aviation system can contribute to and detract from safe and effective operations.,      All of above,4,SUP
,127,A steady red light to an aircraft on the ground means:,Vacate the runway,Return to starting point,Cleared to taxi,Stop,4,SUP
,128,A flashing green light to aircraft on the ground means:,Stop,Cleared to taxi,Cleared for take-off,Return to starting point,2,SUP
,129,A flight plan shall be submitted prior to:,A VFR flight cleared by ATC to operate within a CTR in meteorological conditions below VMC,"Yes, unless otherwise prescribed by the appropriate authority",Inform ATC and request an amended clearance,Any flight that requires ATC service or for which a flight plan is prescribed,4,SUP
,130,A flight plan shall be submitted for VFR flight at night in controlled airspace:,Danger area,"Only when authorized and conducted without hazard to other aircraft, persons or property","Yes, unless otherwise prescribed by the appropriate authority",Shall not be operated unless specifically authorized,3,SUP
,131,A flight plan may be submitted during flight when:,"When the pilot needs ATC service or clearance after departure, or must file or change details in flight",As soon as practicable,Shall not be operated unless specifically authorized,A VFR flight cleared by ATC to operate within a CTR in meteorological conditions below VMC,1,SUP
,132,Significant changes to a current flight plan shall be reported to the appropriate ATS unit:,As soon as practicable,"When the pilot needs ATC service or clearance after departure, or must file or change details in flight","ICAO Annex 2 Rules of the Air, without exception",Subject to authorization and without hazard to other traffic,1,SUP
,133,"When a controlled flight experiences radio communication failure, the pilot shall:",Squawk 7600,Squawk 7600 and follow the published radio communication failure procedures,Squawk 7700,Squawk 7500,2,SUP
,134,Minimum VMC flight visibility at or above 10 000 ft AMSL for VFR is:,10 km,15 km,8 km,5 km,3,SUP
,135,VFR flights above FL195 shall:,"When the pilot needs ATC service or clearance after departure, or must file or change details in flight","Yes, unless otherwise prescribed by the appropriate authority",A VFR flight cleared by ATC to operate within a CTR in meteorological conditions below VMC,Shall not be operated unless specifically authorized,4,SUP
,136,An aircraft shall not be operated in a careless or reckless manner so as to endanger life or property on the surface—this is:,Glider operations are in progress,"Yes, unless otherwise prescribed by the appropriate authority",Shall not be operated unless specifically authorized,Prohibited,4,SUP
,137,The term ‘control zone (CTR)’ is:,A controlled airspace extending upwards from the surface of the earth to transition altitude.,A controlled airspace extending upwards from the surface of the earth to transition level,A controlled airspace extending upwards from the surface of the earth to transition layer,A controlled airspace extending upwards from the surface of the earth to a specified upper limit.,1,SUP
,138,A ‘special VFR flight’ is defined as:,A VFR flight cleared by ATC to operate within a CTR in meteorological conditions below VMC,"When the pilot needs ATC service or clearance after departure, or must file or change details in flight",Glider operations are in progress,As soon as practicable,1,SUP
,139,A large white cross placed horizontally on a runway or taxiway indicates:,The runway or taxiway is closed or unfit for aircraft operations,"When the pilot needs ATC service or clearance after departure, or must file or change details in flight",Inform ATC and request an amended clearance,Squawk 7600 and follow the published radio communication failure procedures,1,SUP
,140,Interception — The signal from intercepting aircraft of ‘rocking wings and flashing navigational lights’ means:,Unable to comply,No,You are not to enter this airspace,"Understood, will comply",4,SUP
,141,Ground signal of a white ‘T’ indicates:,Direction to be used for landing and take-off,8 km,Glider operations are in progress,Cleared to taxi,1,SUP
,142,A double white cross (gliding symbol) indicates:,Cleared to taxi,Direction to be used for landing and take-off,As soon as practicable,Glider operations are in progress,4,SUP
,143,Parachute descents are:,Follow the resolution advisory immediately and notify ATC as soon as possible,Prohibited,Shall not be operated unless specifically authorized,"Only when authorized and conducted without hazard to other aircraft, persons or property",4,SUP
,144,Balloon or airship operations:,Prohibited,The runway or taxiway is closed or unfit for aircraft operations,Subject to authorization and without hazard to other traffic,Any flight that requires ATC service or for which a flight plan is prescribed,3,SUP
,145,Aircraft over the high seas shall comply with:,Follow the resolution advisory immediately and notify ATC as soon as possible,Stop,The runway or taxiway is closed or unfit for aircraft operations,"ICAO Annex 2 Rules of the Air, without exception",4,SUP
,146,"At an aerodrome, circuit direction is:","Left-hand, unless otherwise indicated",Stop,8 km,"Yes, unless otherwise prescribed by the appropriate authority",1,SUP
,147,‘Visual meteorological conditions (VMC)’ are:,"Visibility, distance from cloud and ceiling equal to or better than specified minima",Direction to be used for landing and take-off,Prohibited,Inform ATC and request an amended clearance,1,SUP
,148,‘Instrument flight rules (IFR)’ are:,A flight conducted in accordance with the instrument flight rules,A flight conducted in accordance with the general flight rules.,1 or 2,1 and 2,1,SUP
,149,"When a pilot receives an ATC clearance that is unacceptable for safety or operational reasons, the pilot shall:",Inform ATC and request an amended clearance,"Left-hand, unless otherwise indicated","ICAO Annex 2 Rules of the Air, without exception",Stop,1,SUP
,150,Airborne collision avoidance systems (ACAS/TCAS) advisories:,Inform ATC and request an amended clearance,"Visibility, distance from cloud and ceiling equal to or better than specified minima",Any flight that requires ATC service or for which a flight plan is prescribed,Follow the resolution advisory immediately and notify ATC as soon as possible,4,SUP
,151,When should safety reviews be conducted?,Hazard identification and risk assessment,The ATS service provider or appropriate ATS authority,Likelihood and severity of consequences,"Before significant changes, after implementation or incidents, and periodically",4,SUP
,152,Which is NOT an example of safety-enhancing measure?,"Continuous and systematic, using suitable safety indicators",Increasing capacity without a safety assessment,Assigned management and operational personnel,"Identify hazards and assess likelihood, severity and mitigation",2,SUP
,153,Who is responsible for establishing ATS safety management activities?,The aerodrome operator,The appropriate ATS unit,Approach control unit,The ATS service provider or appropriate ATS authority,4,SUP
,154,What is the relationship between safety management and capacity management?,"Identify hazards and assess likelihood, severity and mitigation","Operational, technical, quality, change and capacity management",Increasing capacity without a safety assessment,Capacity management must never compromise safety,4,SUP
,155,Which of the following best describes safety risk assessment?,"Before significant changes, after implementation or incidents, and periodically","Operational, technical, quality, change and capacity management",Hazard identification and risk assessment,"Identify hazards and assess likelihood, severity and mitigation",4,SUP
,156,Which type of review is required after implementation of new ATC systems?,Unrelated commercial or financial performance,"Continuous and systematic, using suitable safety indicators",Post-implementation safety review,Assigned management and operational personnel,3,SUP
,157,What is the aim of safety-enhancing measures?,"Identify hazards and assess likelihood, severity and mitigation",Reduce safety risk to an acceptable level,"Operational, technical, quality, change and capacity management",Likelihood and severity of consequences,2,SUP
,158,Monitoring of safety levels should be:,"Loss of separation, runway incursions or level busts",Reduce safety risk to an acceptable level,Likelihood and severity of consequences,"Continuous and systematic, using suitable safety indicators",4,SUP
,159,What is the ultimate goal of ATS safety management?,Post-implementation safety review,Capacity assessment,Assigned management and operational personnel,Prevent accidents and incidents and maintain an acceptable level of safety,4,SUP
,160,Who is accountable for applying safety-enhancing measures?,The appropriate ATS unit,The rescue coordination centre,Approach control unit,Assigned management and operational personnel,4,SUP
